 0.3819519D+04 0.8581895D-17
 0.3823046D+04 0.5939626D-17
 0.3826572D+04 0.9396023D-17
 0.3830099D+04 0.1266981D-16
 0.3833626D+04 0.1217990D-16
 0.3837152D+04 0.3629165D-17
 0.3840679D+04 0.3795987D-17
 0.3844206D+04 0.1068109D-16
 0.3847733D+04 0.9320516D-17
 0.3851259D+04 0.4134235D-17
 0.3854786D+04 0.1939963D-16
 0.3858313D+04 0.3646707D-16
 0.3861839D+04 0.3197211D-17
 0.3865366D+04 0.5500072D-17
 0.3868893D+04 0.8700865D-17
 0.3872419D+04 0.7630847D-17
 0.3875946D+04 0.6317644D-17
 0.3879473D+04 0.1466616D-16
 0.3882999D+04 0.1655882D-16
 0.3886526D+04 0.9870494D-17
 0.3890053D+04 0.1054720D-16
 0.3893580D+04 0.1464423D-16
 0.3897106D+04 0.1973604D-16
 0.3900633D+04 0.2849259D-16
 0.3904160D+04 0.2069483D-16
 0.3907686D+04 0.2357196D-16
 0.3911213D+04 0.3002316D-16
 0.3914740D+04 0.2447952D-16
 0.3918266D+04 0.2631027D-16
 0.3921793D+04 0.3574907D-16
 0.3925320D+04 0.3341647D-16
 0.3928846D+04 0.4367984D-16
 0.3932373D+04 0.5254233D-16
 0.3935900D+04 0.5690783D-16
 0.3939427D+04 0.5821943D-16
 0.3942953D+04 0.5144096D-16
 0.3946480D+04 0.6094093D-16
 0.3950007D+04 0.7027572D-16
 0.3953533D+04 0.6386100D-16
 0.3957060D+04 0.7306939D-16
 0.3960587D+04 0.7870936D-16
 0.3964113D+04 0.8116582D-16
 0.3967640D+04 0.8743009D-16
 0.3971167D+04 0.9073208D-16
 0.3974693D+04 0.8591731D-16
 0.3978220D+04 0.9405916D-16
 0.3981747D+04 0.1046881D-15
 0.3985274D+04 0.1081076D-15
 0.3988800D+04 0.1104405D-15
 0.3992327D+04 0.1159399D-15
 0.3995854D+04 0.1229999D-15
 0.3999380D+04 0.1305334D-15
 0.4002907D+04 0.1377970D-15
 0.4006434D+04 0.1366377D-15
 0.4009960D+04 0.1364738D-15
 0.4013487D+04 0.1392712D-15
 0.4017014D+04 0.1558733D-15
 0.4020540D+04 0.1562246D-15
 0.4024067D+04 0.1557402D-15
 0.4027594D+04 0.1548463D-15
 0.4031121D+04 0.1589491D-15
 0.4034647D+04 0.1530766D-15
 0.4038174D+04 0.1663588D-15
 0.4041701D+04 0.1827081D-15
 0.4045227D+04 0.1686714D-15
 0.4048754D+04 0.1672378D-15
 0.4052281D+04 0.1612893D-15
 0.4055807D+04 0.1606024D-15
 0.4059334D+04 0.1727074D-15
 0.4062861D+04 0.1607914D-15
 0.4066387D+04 0.1493035D-15
 0.4069914D+04 0.1487133D-15
 0.4073441D+04 0.1478651D-15
 0.4076968D+04 0.1449368D-15
 0.4080494D+04 0.1258782D-15
 0.4084021D+04 0.1138804D-15
 0.4087548D+04 0.1113416D-15
 0.4091074D+04 0.1079678D-15
 0.4094601D+04 0.1051391D-15
 0.4098128D+04 0.9066530D-16
 0.4101654D+04 0.7841026D-16
 0.4105181D+04 0.7634125D-16
 0.4108708D+04 0.7275407D-16
 0.4112234D+04 0.7064897D-16
 0.4115761D+04 0.6314432D-16
 0.4119288D+04 0.6250590D-16
 0.4122815D+04 0.6635603D-16
 0.4126341D+04 0.6176912D-16
 0.4129868D+04 0.6609724D-16
 0.4133395D+04 0.6239473D-16
 0.4136921D+04 0.6336899D-16
 0.4140448D+04 0.5960294D-16
 0.4143975D+04 0.5327107D-16
 0.4147501D+04 0.6027098D-16
 0.4151028D+04 0.6144859D-16
 0.4154555D+04 0.4422593D-16
 0.4158081D+04 0.5216351D-16
 0.4161608D+04 0.6518351D-16
 0.4165135D+04 0.6311106D-16
 0.4168662D+04 0.6105155D-16
 0.4172188D+04 0.6467345D-16
 0.4175715D+04 0.6054619D-16
 0.4179242D+04 0.6025417D-16
 0.4182768D+04 0.5947352D-16
 0.4186295D+04 0.5479680D-16
 0.4189822D+04 0.6581767D-16
 0.4193348D+04 0.7711714D-16
 0.4196875D+04 0.7522821D-16
 0.4200402D+04 0.7573883D-16
 0.4203928D+04 0.8110998D-16
 0.4207455D+04 0.8951279D-16
 0.4210982D+04 0.9309486D-16
 0.4214509D+04 0.1009446D-15
 0.4218035D+04 0.9936263D-16
